pl_name,pl_orbper,pl_rade,pl_masse,st_mass,st_rad,st_teff
TOI-1693 b,1.76669201,1.557,,,0.46,3474.0
TOI-2524 b,7.18580292,13.161,,,1.19,5758.3
TOI-5174 b,12.214286,5.351,,1.0,1.09,5643.77
WASP-4 b,1.33823137,,,,,
TOI-2084 b,6.0784247,2.47,,0.45,0.47,3551.0
TOI-2524 b,7.18585,11.209,203.41018,1.01,1.12,5831.0
WASP-22 b,3.53269,12.554,177.9848,1.1,1.13,6000.0
TOI-1231 b,24.245586,3.65,15.4,0.48,0.48,3553.0
LHS 1815 b,3.814334,1.088,1.58,0.5,0.5,3643.0
WASP-22 b,3.53272966,,,,,
TOI-4308 b,9.151201,2.419,,0.9,0.79,5243.0
TOI-4377 b,4.378081,15.11,304.16179,1.36,3.52,4974.0
TOI-1853 b,1.2436258,3.46,73.2,0.84,0.81,4985.0
TOI-269 b,3.69771671,2.942,,,0.4,3607.0
HAT-P-17 b,10.338523,11.321,170.67471,0.86,0.84,5246.0
KELT-19 A b,4.6117328,18.796,,,1.67,7346.0
Kepler-7 b,,,,1.1,2.08,5974.0
HATS-35 b,1.8209993,16.41,388.38826,1.32,1.43,6300.0
CoRoT-2 b,1.7429964,16.421,1051.973,,,
WASP-175 b,3.0652926,13.352,,,1.22,6229.0
WASP-24 b,2.3412127,,,,,6075.0
WASP-119 b,2.4997996,13.852,,,1.14,5650.0
WASP-41 b,3.05240154,13.204,310.51991,0.99,0.89,5546.0
UCAC3 113-933 b,,,6674.39655,0.61,,
UCAC4 328-061594 b,,,6674.39655,1.19,,
GJ 900 b,,,3496.11248,1.08,,
Kepler-52 b,,2.516,,0.66,0.62,4127.0
WASP-60 b,4.3050061,,,1.08,1.14,5900.0
WASP-73 b,4.0872956,13.624,,,2.22,6036.0
LP 791-18 c,4.9899054,,,0.14,0.17,2960.0
WASP-73 b,4.08722,13.002,597.20257,1.34,2.07,6030.0
